annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes
gpCom control of modification,gpCom control of modification,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
genome terminal protein,genome terminal protein,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
aminoacid permease,aminoacid permease,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
cyanobacterial phosphoribosylglycinamide formyltransferase,cyanobacterial phosphoribosylglycinamide formyltransferase,11,0.0004,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
aerobic cobaltochelatase CobT subunit,aerobic cobaltochelatase CobT subunit,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RexB-like exclusion protein,RexB-like exclusion protein,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RexA-like exclusion protein,RexA-like exclusion protein,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
restriction enzyme I,restriction enzyme I,11,0.0004,defer,Genome_maintenance_propagation,DNA_recombination,,mechanistically specific but no stable dedicated L3 in current ontology,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,hold as defer until a dedicated node is justified,,,restriction enzyme itself is not anti-restriction; no confident v1.1 L3 leaf
CTXphi Zot-like toxin,CTXphi Zot-like toxin,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
transfer protein,transfer protein,10,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
chemotaxis inhibition protein,chemotaxis inhibition protein,10,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
beta-propeller repeat protein,beta-propeller repeat protein,10,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
pyramid forming protein,pyramid forming protein,9,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
taurine catabolism dioxygenase,taurine catabolism dioxygenase,9,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
photosystem II D2,photosystem II D2,9,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
"BstA abortive infection system, replication inhibitor","BstA abortive infection system, replication inhibitor",9,0.0004,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
major capsid protein,major capsid protein,8,0.0003,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
pectin lyase activity,pectin lyase activity,8,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
spore protease,spore protease,8,0.0003,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
pseudomurein endosiopeptidase,pseudomurein endosiopeptidase,7,0.0003,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
inhibitor of transcription initiation and antiterminator,inhibitor of transcription initiation and antiterminator,7,0.0003,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
sporulation stage III protein D,sporulation stage III protein D,7,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
GtrA-like O-antigen conversion,GtrA-like O-antigen conversion,7,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
uracil-DNA glycosylase,uracil-DNA glycosylase,7,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
cytolethal distending toxin C subunit,cytolethal distending toxin C subunit,6,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
NifU-like Fe-S cluster assembly protein,NifU-like Fe-S cluster assembly protein,6,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
MIT family metal ion transporter,MIT family metal ion transporter,5,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Arc-like DNA binding domain,Arc-like DNA binding domain,5,0.0002,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
chitinase,chitinase,5,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
